"X","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
137,118,"House",29910,63,2,"ID",200,NA,NA,"SIMPSON, Michael K.","S001148",1950,NA,0.296,0.311,-101.17673,0.90153,976,37,NA,0.288,0.425
138,118,"House",20749,21,11,"IL",100,NA,NA,"FOSTER, Bill","F000454",1955,NA,-0.236,-0.215,-71.53898,0.93162,1010,29,NA,-0.337,-0.049
139,118,"House",20954,21,5,"IL",100,NA,NA,"QUIGLEY, Mike","Q000023",1958,NA,-0.326,-0.23,-73.54951,0.92819,987,27,NA,-0.449,0.188
140,118,"House",21326,21,10,"IL",100,NA,NA,"SCHNEIDER, Brad","S001190",1961,NA,-0.192,-0.116,-75.48995,0.92722,999,35,NA,-0.306,0.179
141,118,"House",21371,21,2,"IL",100,NA,NA,"KELLY, Robin L.","K000385",1956,NA,-0.47,-0.017,-32.92028,0.96687,977,13,NA,-0.553,0.003
142,118,"House",21519,21,12,"IL",200,NA,NA,"BOST, Mike","B001295",1960,NA,0.397,-0.033,-170.50308,0.84467,1010,93,NA,0.517,-0.106
143,118,"House",21562,21,16,"IL",200,NA,NA,"LaHOOD, Darin","L000585",1968,NA,0.46,0.217,-160.11802,0.85053,989,64,NA,0.461,0.281
144,118,"House",21730,21,8,"IL",100,NA,NA,"KRISHNAMOORTHI, S. Raja","K000391",1973,NA,-0.336,-0.002,-47.95287,0.95385,1015,17,NA,-0.406,0.148
145,118,"House",21906,21,6,"IL",100,NA,NA,"CASTEN, Sean","C001117",1971,NA,-0.651,0.48,-60.6129,0.9417,1009,24,NA,-0.617,0.31
146,118,"House",21921,21,4,"IL",100,NA,NA,"GARCÍA, Jesús","G000586",1956,NA,-0.434,-0.885,-41.67889,0.95594,925,18,NA,-0.77,-0.637
